grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,n_runs,seed_base
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,1.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,1.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,50,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.5,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.5,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
G11,entrincheiramento,200,pareto,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.5,0.0,rotatividade;persistencia;permanencia_media;diversidade,stake;eleito;produzido,30,42
